date,window,instrument,direction,option_type,strike,entry_time,exit_time,entry_price,exit_price,pnl_pct,gross_pnl,transaction_cost,pnl_rupees,cumulative_pnl,cumulative_capital,trade_budget,quantity,exit_reason,holding_min,is_expiry,is_paper
2026-02-20,BLACKSWAN,NIFTY,BEARISH,PE,25450,09:15:00,09:45:00,38.67,16.45,-57.46,-10110.1,69.89,-10179.99,63159.01,83159.01,17594.85,455,STOP_LOSS,30,False,False
2026-03-02,BLACKSWAN,NIFTY,BEARISH,PE,24900,09:15:00,09:30:00,42.81,12.34,-71.17,-13863.85,68.08,-13931.93,49227.08,69227.08,19478.55,455,STOP_LOSS,15,True,False
2026-03-04,BLACKSWAN,NIFTY,BEARISH,PE,24400,09:15:00,10:25:00,46.26,26.1,-43.58,-7862.4,74.43,-7936.83,41290.25,61290.25,18041.4,390,STOP_LOSS,70,False,False
2026-03-09,BLACKSWAN,NIFTY,BEARISH,PE,23750,09:15:00,10:05:00,26.6,13.27,-50.11,-9530.95,73.94,-9604.89,31685.36,51685.36,19019.0,715,STOP_LOSS,50,False,False
2026-03-13,BLACKSWAN,NIFTY,BEARISH,PE,23450,09:15:00,10:45:00,36.82,119.6,224.82,43045.6,157.56,42888.04,74573.4,94573.4,19146.4,520,TIME_STOP,90,False,False
2026-03-20,BLACKSWAN,NIFTY,BEARISH,PE,23300,09:15:00,10:45:00,46.58,4.1,-91.2,-16567.2,60.91,-16628.11,57945.29,77945.29,18166.2,390,TIME_STOP,90,False,False
2026-03-24,BLACKSWAN,NIFTY,BULLISH,CE,22800,09:15:00,09:40:00,29.95,14.51,-51.55,-10036.0,74.12,-10110.12,47835.17,67835.17,19467.5,650,STOP_LOSS,25,True,False
2026-04-01,BLACKSWAN,NIFTY,BULLISH,CE,22900,09:15:00,09:30:00,30.93,17.89,-42.16,-7628.4,74.92,-7703.32,40131.85,60131.85,18094.05,585,STOP_LOSS,15,False,False
2026-04-08,BLACKSWAN,NIFTY,BULLISH,CE,23900,09:15:00,09:20:00,38.73,22.76,-41.23,-7266.35,74.45,-7340.8,32791.05,52791.05,17622.15,455,STOP_LOSS,5,False,False
2026-04-13,BLACKSWAN,NIFTY,BEARISH,PE,23600,09:15:00,09:40:00,48.75,21.78,-55.32,-10518.3,72.36,-10590.66,22200.39,42200.39,19012.5,390,STOP_LOSS,25,True,False
