date,window,instrument,direction,option_type,strike,entry_time,exit_time,entry_price,exit_price,pnl_pct,gross_pnl,transaction_cost,pnl_rupees,cumulative_pnl,cumulative_capital,trade_budget,quantity,exit_reason,holding_min,is_expiry,is_paper
2025-07-11,GAPFADE,NIFTY,BULLISH,CE,25300,09:20:00,09:40:00,40.8,47.79,17.13,1363.05,66.87,1296.18,77940.21,87940.21,7956.0,195,TARGET_HIT,20,False,False
2025-08-29,GAPFADE,NIFTY,BULLISH,CE,24500,09:15:00,09:20:00,43.58,71.7,64.53,5483.4,74.59,5408.81,83349.02,93349.02,8498.1,195,TARGET_HIT,5,False,False
2025-10-31,GAPFADE,NIFTY,BULLISH,CE,25900,09:25:00,09:30:00,49.39,69.34,40.39,3890.25,74.56,3815.69,87164.71,97164.71,9631.05,195,TARGET_HIT,5,False,False
2025-11-12,GAPFADE,NIFTY,BEARISH,PE,25800,09:25:00,09:40:00,43.14,21.07,-51.16,-4303.65,58.89,-4362.54,82802.17,92802.17,8412.3,195,STOP_LOSS,15,False,False
2026-01-09,GAPFADE,NIFTY,BULLISH,CE,25950,09:15:00,09:20:00,36.66,11.57,-68.44,-6523.4,57.83,-6581.23,76220.94,86220.94,9531.6,260,STOP_LOSS,5,False,False
2026-01-23,GAPFADE,NIFTY,BEARISH,PE,25300,09:15:00,09:20:00,53.27,30.45,-42.84,-2966.6,57.73,-3024.33,73196.61,83196.61,6925.1,130,STOP_LOSS,5,False,False
2026-02-02,GAPFADE,NIFTY,BULLISH,CE,24900,09:20:00,09:25:00,29.05,19.96,-31.29,-2954.25,63.29,-3017.54,70179.07,80179.07,9441.25,325,STOP_LOSS,5,False,False
2026-02-03,GAPFADE,NIFTY,BEARISH,PE,25800,09:15:00,09:25:00,36.0,47.28,31.33,2932.8,72.44,2860.36,73039.43,83039.43,9360.0,260,TARGET_HIT,10,True,False
2026-02-09,GAPFADE,NIFTY,BEARISH,PE,25800,09:15:00,09:30:00,33.42,38.75,15.95,1385.8,68.51,1317.29,74356.72,84356.72,8689.2,260,TARGET_HIT,15,False,False
2026-02-20,GAPFADE,NIFTY,BULLISH,CE,25450,09:15:00,09:25:00,42.75,15.24,-64.35,-5364.45,57.04,-5421.49,68935.23,78935.23,8336.25,195,STOP_LOSS,10,False,False
2026-03-02,GAPFADE,NIFTY,BULLISH,CE,24900,09:15:00,09:30:00,36.92,88.0,138.35,13280.8,89.37,13191.43,82126.66,92126.66,9599.2,260,TARGET_HIT,15,True,False
2026-03-06,GAPFADE,NIFTY,BEARISH,PE,24600,09:15:00,09:20:00,41.59,19.47,-53.19,-4313.4,58.21,-4371.61,77755.05,87755.05,8110.05,195,STOP_LOSS,5,False,False
2026-03-10,GAPFADE,NIFTY,BEARISH,PE,24150,09:15:00,09:30:00,38.54,51.29,33.08,2486.25,67.68,2418.57,80173.62,90173.62,7515.3,195,TARGET_HIT,15,True,False
2026-03-17,GAPFADE,NIFTY,BEARISH,PE,23400,09:15:00,09:20:00,39.1,57.33,46.62,3554.85,69.61,3485.24,83658.86,93658.86,7624.5,195,TARGET_HIT,5,True,False
2026-03-20,GAPFADE,NIFTY,BULLISH,CE,23300,09:15:00,09:20:00,29.16,18.9,-35.19,-3334.5,62.77,-3397.27,80261.59,90261.59,9477.0,325,STOP_LOSS,5,False,False
2026-03-24,GAPFADE,NIFTY,BEARISH,PE,22800,09:15:00,09:20:00,43.74,28.03,-35.92,-3063.45,61.11,-3124.56,77137.03,87137.03,8529.3,195,STOP_LOSS,5,True,False
2026-03-30,GAPFADE,NIFTY,BULLISH,CE,22700,09:30:00,09:40:00,28.37,18.67,-34.19,-3152.5,62.49,-3214.99,73922.04,83922.04,9220.25,325,STOP_LOSS,10,True,False
2026-04-01,GAPFADE,NIFTY,BEARISH,PE,22850,09:30:00,09:35:00,33.1,46.94,41.81,3598.4,71.84,3526.56,77448.6,87448.6,8606.0,260,TARGET_HIT,5,False,False
2026-04-07,GAPFADE,NIFTY,BULLISH,CE,22900,09:25:00,09:30:00,31.73,19.12,-39.74,-3278.6,60.15,-3338.75,74109.85,84109.85,8249.8,260,STOP_LOSS,5,True,False
2026-04-10,GAPFADE,NIFTY,BULLISH,CE,23950,09:15:00,09:20:00,47.6,24.85,-47.79,-4436.25,60.59,-4496.84,69613.01,79613.01,9282.0,195,STOP_LOSS,5,False,False
2026-04-13,GAPFADE,NIFTY,BULLISH,CE,23650,09:40:00,09:55:00,29.29,46.65,59.27,5642.0,77.09,5564.91,75177.92,85177.92,9519.25,325,TARGET_HIT,15,True,False
2026-05-20,GAPFADE,NIFTY,BULLISH,CE,23500,09:30:00,09:35:00,48.38,56.21,16.18,1526.85,70.38,1456.47,76634.39,86634.39,9434.1,195,TARGET_HIT,5,False,False
2026-06-02,GAPFADE,NIFTY,BULLISH,CE,23300,09:15:00,09:40:00,31.76,37.48,18.01,1487.2,67.73,1419.47,78053.86,88053.86,8257.6,260,TARGET_HIT,25,True,False
2026-06-08,GAPFADE,NIFTY,BULLISH,CE,23150,09:15:00,09:25:00,28.52,39.88,39.83,3692.0,73.45,3618.55,81672.41,91672.41,9269.0,325,TARGET_HIT,10,False,False
2026-06-09,GAPFADE,NIFTY,BEARISH,PE,23200,09:35:00,09:40:00,29.49,36.93,25.23,2418.0,72.12,2345.88,84018.29,94018.29,9584.25,325,TARGET_HIT,5,True,False
2026-06-12,GAPFADE,NIFTY,BEARISH,PE,23350,09:40:00,09:50:00,26.5,31.16,17.58,1514.5,68.55,1445.95,85464.24,95464.24,8612.5,325,TARGET_HIT,10,False,False
2026-06-15,GAPFADE,NIFTY,BEARISH,PE,23950,09:15:00,09:45:00,39.64,26.31,-33.63,-2599.35,60.09,-2659.44,82804.8,92804.8,7729.8,195,STOP_LOSS,30,False,False
